strategy,seed,time_to_first_defect,defects_within_budget,total_duration,ordered_tests
random,1,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,startup,reverse_drive,drive_nominal"
shortest_processing_time,1,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,1,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,1,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,2,0.8,2,5.1,"low_soc_fault,motor_over_temp,drive_nominal,reverse_drive,regen_soc,startup"
shortest_processing_time,2,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,2,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,2,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,3,1.3,2,5.1,"startup,low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal"
shortest_processing_time,3,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,3,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,3,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,4,1.0,1,5.1,"motor_over_temp,regen_soc,reverse_drive,startup,low_soc_fault,drive_nominal"
shortest_processing_time,4,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,4,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,4,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,5,2.7,1,5.1,"drive_nominal,startup,motor_over_temp,regen_soc,low_soc_fault,reverse_drive"
shortest_processing_time,5,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,5,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,5,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,6,0.8,1,5.1,"low_soc_fault,regen_soc,drive_nominal,motor_over_temp,startup,reverse_drive"
shortest_processing_time,6,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,6,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,6,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,7,3.1,0,5.1,"reverse_drive,startup,regen_soc,motor_over_temp,drive_nominal,low_soc_fault"
shortest_processing_time,7,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,7,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,7,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,8,3.1,0,5.1,"regen_soc,reverse_drive,startup,motor_over_temp,low_soc_fault,drive_nominal"
shortest_processing_time,8,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,8,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,8,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,9,3.3999999999999995,0,5.1,"regen_soc,startup,drive_nominal,low_soc_fault,reverse_drive,motor_over_temp"
shortest_processing_time,9,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,9,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,9,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,10,0.8,1,5.1,"low_soc_fault,regen_soc,drive_nominal,motor_over_temp,startup,reverse_drive"
shortest_processing_time,10,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,10,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,10,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,11,0.8,1,5.1,"low_soc_fault,startup,drive_nominal,regen_soc,reverse_drive,motor_over_temp"
shortest_processing_time,11,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,11,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,11,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,12,4.1,0,5.1,"regen_soc,drive_nominal,startup,reverse_drive,low_soc_fault,motor_over_temp"
shortest_processing_time,12,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,12,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,12,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,13,1.0,1,5.1,"motor_over_temp,startup,reverse_drive,drive_nominal,regen_soc,low_soc_fault"
shortest_processing_time,13,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,13,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,13,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,14,1.7000000000000002,2,5.1,"regen_soc,low_soc_fault,motor_over_temp,drive_nominal,reverse_drive,startup"
shortest_processing_time,14,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,14,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,14,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
random,15,1.7000000000000002,2,5.1,"regen_soc,low_soc_fault,motor_over_temp,reverse_drive,startup,drive_nominal"
shortest_processing_time,15,2.0,1,5.1,"startup,reverse_drive,low_soc_fault,regen_soc,motor_over_temp,drive_nominal"
failure_rate,15,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,drive_nominal,startup"
composite,15,0.8,2,5.1,"low_soc_fault,motor_over_temp,regen_soc,reverse_drive,startup,drive_nominal"
